,portfolio
2009-06-09,-0.010025842158325218
2009-06-10,0.007317381709571794
2009-06-11,0.003022746531644121
2009-06-12,-0.0018911111374859861
2009-06-15,0.008910198885684015
2009-06-16,-0.002775013958353654
2009-06-17,-0.008938468225605888
2009-06-18,0.00951888677825955
2009-06-19,-0.0037058946763399293
2009-06-22,0.007912451981207026
2009-06-23,-0.003049389067813167
2009-06-24,0.017310661496280293
2009-06-25,0.000388779797401766
2009-06-26,0.0031754235706645266
2009-06-29,-0.005866186560080963
2009-06-30,0.003944690466461305
2009-07-01,-0.01185522571192146
2009-07-02,-0.0021869925383652027
2009-07-06,-0.0005159237348099605
2009-07-07,0.007466635044889725
2009-07-08,-0.006075908637562572
2009-07-09,0.00500665629172968
2009-07-10,0.0033186430438105824
2009-07-13,-0.007243097282024632
2009-07-14,-0.005877145267560321
2009-07-15,0.005389393019491431
2009-07-16,-0.0025435396865696206
2009-07-17,0.009442243832068233
2009-07-20,0.009115354244530664
2009-07-21,-0.0028505501520463103
2009-07-22,-0.00024013883432276938
2009-07-23,0.00376156668176814
2009-07-24,-0.0027837702813564495
2009-07-27,-0.0024221286105087676
2009-07-28,-0.001154122455012653
2009-07-29,0.010416492407281886
2009-07-30,0.012882810168456826
2009-07-31,0.00100699707622659
2009-08-03,-0.0001405614915414989
2009-08-04,-0.006769764280043993
2009-08-05,-0.0009311399236973223
2009-08-06,-0.0010417486426914121
2009-08-07,0.0020403402741791133
2009-08-10,-0.00016955834213552672
2009-08-11,-0.00013013742140306354
2009-08-12,0.010357527047618728
2009-08-13,-0.0030806878446033963
2009-08-14,-0.00661454236942109
2009-08-17,0.0016619158308404831
2009-08-18,0.007631266819515165
2009-08-19,0.006156980461607296
2009-08-20,0.002190890801043317
2009-08-21,0.0036306319380954174
2009-08-24,0.004070354630616002
2009-08-25,0.0019435927975383718
2009-08-26,0.00027553144713669884
2009-08-27,0.0035775699109319194
2009-08-28,-0.004010378744143231
2009-08-31,-0.007440821738473932
2009-09-01,0.010481308241122797
2009-09-02,0.003707157822777254
2009-09-03,-0.0018236334942860733
2009-09-04,-7.636177269655507e-05
2009-09-08,0.0013101825956036736
2009-09-09,0.01245343771744037
2009-09-10,0.004879867113458905
2009-09-11,-0.0043752748522085
2009-09-14,0.0017950728098097026
2009-09-15,0.008510652872962501
2009-09-16,0.0030460146659951424
2009-09-17,-0.0050445876255111296
2009-09-18,-0.0007555636751971407
2009-09-21,0.006172673153046386
2009-09-22,-0.0038326667273402117
2009-09-23,-0.005978215603227003
2009-09-24,0.0017683853215851137
2009-09-25,0.009835261999691161
2009-09-28,-0.0004424483057493087
2009-09-29,0.0018964631283544576
2009-09-30,-0.00579311912110653
2009-10-01,-0.0031900821404440144
2009-10-02,0.008884278114678023
2009-10-05,0.007086011277957481
2009-10-06,0.005820998955426459
2009-10-07,0.0015600170581212803
2009-10-08,-0.009086105182241504
2009-10-09,0.003935381675915647
2009-10-12,0.0008739923171292762
2009-10-13,0.009410606745983487
2009-10-14,-0.003763841292991784
2009-10-15,-0.0003713140519911517
2009-10-16,0.008664404458643213
2009-10-19,-0.00485424574475227
2009-10-20,-0.00566404691281718
2009-10-21,0.004141298165861394
2009-10-22,-0.00914509760399151
2009-10-23,-0.012347650052459268
2009-10-26,-0.0016540378436027726
2009-10-27,-0.014685882959129735
2009-10-28,0.0038820460656015564
2009-10-29,0.00015585621525847696
2009-10-30,0.0026836907264526752
2009-11-02,0.001137503634473542
2009-11-03,-0.002777934808414435
2009-11-04,0.007873599642267687
2009-11-05,0.002512486436560538
2009-11-06,0.01651849144442033
2009-11-09,0.00039823361127703155
2009-11-10,0.006505900948151832
2009-11-11,-0.010016064364625774
2009-11-12,0.007477060135034472
2009-11-13,0.01479372014435363
2009-11-16,0.0020551402303319146
2009-11-17,-0.000372509838369895
2009-11-18,-0.008235638434031942
2009-11-19,-0.0009128454729389849
2009-11-20,0.011048705587502374
2009-11-23,0.002586435707868045
2009-11-24,0.006824252588952553
2009-11-25,-0.013642565620200544
2009-11-27,0.0036864497871125505
2009-11-30,0.010605135191138468
2009-12-01,0.003596400688708883
2009-12-02,-0.007155976816645663
2009-12-03,-0.008015169974422889
2009-12-04,-0.0022782487607525123
2009-12-07,-0.011924189758201139
2009-12-08,0.0017184124384181825
2009-12-09,0.0024526393678850123
2009-12-10,-0.0006626942604696226
2009-12-11,0.006645593500638983
2009-12-14,-0.0035422353205874914
2009-12-15,0.003982748905186243
2009-12-16,-0.0159314952135282
2009-12-17,0.006958744801574001
2009-12-18,0.00014610454534272083
2009-12-21,-6.0207139716963965e-05
2009-12-22,0.002193996883786571
2009-12-23,0.006238994233240329
2009-12-24,0.0015442289886176195
2009-12-28,-0.0027655650571938297
2009-12-29,-0.0006010818486234258
2009-12-30,-0.006518948888395464
2009-12-31,0.01627106525226099
2010-01-04,0.0021343942811867436
2010-01-05,0.0032009451643101473
2010-01-06,0.001354295360789382
2010-01-07,0.0033523912955529273
2010-01-08,0.0036573608254542953
2010-01-11,-0.009676824581251374
2010-01-12,0.006662176939872385
2010-01-13,0.0042418517730224295
2010-01-14,-0.009344941877051342
2010-01-15,0.009269854433349708
2010-01-19,-0.011487088719691795
2010-01-20,-0.015793014434862
2010-01-21,-0.016327445128233094
2010-01-22,0.003700369839830517
2010-01-25,-0.0027580181964745073
2010-01-26,0.0013428972054646685
2010-01-27,-0.008225205426152925
2010-01-28,-0.007758703065058286
2010-01-29,0.014350944825514024
2010-02-01,0.010140859285620016
2010-02-02,-0.005452505081312999
2010-02-03,-0.028506053290048773
2010-02-04,0.0022560737904263614
2010-02-05,-0.006167853782660353
2010-02-08,0.010349713695497096
2010-02-09,-0.0028819408707890337
2010-02-10,0.010532232967653262
2010-02-11,-0.0003399884649888051
2010-02-12,0.015880711317080375
2010-02-16,0.0014866027977309911
2010-02-17,0.005042546421331256
2010-02-18,0.001058590735713699
2010-02-19,-0.0010207442351989893
2010-02-22,-0.009180563901733765
2010-02-23,0.005667069140110495
2010-02-24,0.0013747671064868311
2010-02-25,0.0030137463382856416
2010-02-26,0.00718830731155132
2010-03-01,0.004690251815936814
2010-03-02,0.0014669463518006739
2010-03-03,0.0012038679486781573
2010-03-04,0.008577951944689891
2010-03-05,-0.0020853731653285314
2010-03-08,0.0008940665981547718
2010-03-09,0.000563709477708849
2010-03-10,0.0035238936830159053
2010-03-11,-0.0005193650204063947
2010-03-12,0.0008076348864676392
2010-03-15,0.01007759082859363
2010-03-16,0.0030915488271757033
2010-03-17,0.0006770924290274074
2010-03-18,-0.0072228566407711355
2010-03-19,0.002860277091617033
2010-03-22,0.005489745100386743
2010-03-23,-0.00901412435919356
2010-03-24,-0.0008788705074386278
2010-03-25,0.003223276880501227
2010-03-26,0.004340502348356712
2010-03-29,-0.0006469705847342707
2010-03-30,0.00010170348612240283
2010-03-31,0.006915816369296013
2010-04-01,0.005143378999429108
2010-04-05,0.0020606245545897696
2010-04-06,-0.00012719330904239828
2010-04-07,0.0027500681427501832
2010-04-08,0.006568504710897972
2010-04-09,0.0005267144012998267
2010-04-12,0.0002823689467692813
2010-04-13,0.007797748332085137
2010-04-14,0.0017838586099779242
2010-04-15,-0.014789377964886444
2010-04-16,0.0022273514559224077
2010-04-19,0.00713722032751209
2010-04-20,0.0010634044094938431
2010-04-21,0.0009485184072201968
2010-04-22,0.006599782867596552
2010-04-23,-0.003316361139138524
2010-04-26,-0.01204905687431559
2010-04-27,0.0038818731028544195
2010-04-28,0.008990438652121322
2010-04-29,-0.008947615050816522
2010-04-30,0.009524758916643325
2010-05-03,-0.016365382540814804
2010-05-04,-0.0032116169712469358
2010-05-05,-0.014779589563410536
2010-05-06,-0.01038539237229581
2010-05-07,-0.00101401595329643
2010-05-10,0.004799677626046423
2010-05-11,0.0013325751957466816
2010-05-12,-0.0017281081161890936
2010-05-13,0.003445450269287959
2010-05-14,-0.003874347811581789
2010-05-17,0.004307046806139491
2010-05-18,-0.006118735396774809
2010-05-19,-0.0011905905647682572
2010-05-20,0.002721116120149406
2010-05-21,-0.0012799891685244067
2010-05-24,0.0038022058590580746
2010-05-25,-0.00046570959718618757
2010-05-26,-0.002553653609100884
2010-05-27,-0.0004900906215931451
2010-05-28,0.001426831421157858
2010-06-01,0.001417469628544261
2010-06-02,-0.006630132234882557
2010-06-03,0.006918656387371344
2010-06-04,0.0054636160145080355
2010-06-07,-0.0008394184202098697
2010-06-08,-0.002812031642585051
2010-06-09,-0.00513123556896459
2010-06-10,0.009689378669677107
2010-06-11,-0.0038171538098203082
2010-06-14,0.006437121165620581
2010-06-15,0.0013884503230008143
2010-06-16,0.005095613484698475
2010-06-17,0.002440640264672272
2010-06-18,-0.007167550513097679
2010-06-21,-0.007449416340972698
2010-06-22,-0.0023741047367913694
2010-06-23,-0.010735053598938612
2010-06-24,0.006032279437928247
2010-06-25,0.0005400231436603806
2010-06-28,-0.001988818133578513
2010-06-29,0.0018309185973754529
2010-06-30,-0.0097772963834274
2010-07-01,-0.00242606971690827
2010-07-02,0.0018112981222607868
2010-07-06,0.004210162807610287
2010-07-07,-0.0018647691022134723
2010-07-08,0.006702662032356067
2010-07-09,-0.0017827152225880125
2010-07-12,0.011037179987888647
2010-07-13,0.0008156442525300308
2010-07-14,0.0010218227105629873
2010-07-15,-0.020982036864342843
2010-07-16,0.0011886838553087638
2010-07-19,0.009298830283398202
2010-07-20,-0.004451429248235479
2010-07-21,0.011241297382748788
2010-07-22,-0.0023085332579500855
2010-07-23,0.005268991180316354
2010-07-26,-0.007560694718335686
2010-07-27,-0.002290201429063247
2010-07-28,-0.001509667345695678
2010-07-29,0.005846054608352311
2010-07-30,0.010502401526464316
2010-08-02,0.00036977565980938
2010-08-03,0.005129911899548724
2010-08-04,0.0005455532230572271
2010-08-05,0.0006850879033453894
2010-08-06,0.0002367678864159229
2010-08-09,-0.00042798861145750553
2010-08-10,-0.005228513248873051
